epoch,time(s),train_loss,test_loss,test_error(%)
001,00034,1.307931,0.00123,43.52
002,00033,1.016135,0.00092,32.13
003,00033,0.903624,0.00069,23.25
004,00033,0.833979,0.00080,27.61
005,00033,0.821429,0.00070,24.50
006,00033,0.750899,0.00064,21.32
007,00033,0.771966,0.00076,25.95
008,00033,0.743991,0.00067,22.33
009,00033,0.723129,0.00057,19.07
010,00033,0.694749,0.00063,22.04
011,00033,0.709201,0.00060,21.35
012,00033,0.655515,0.00054,18.10
013,00033,0.654106,0.00058,19.16
014,00033,0.635061,0.00057,18.88
015,00033,0.645012,0.00045,15.19
016,00033,0.648714,0.00050,16.80
017,00033,0.622559,0.00055,17.92
018,00033,0.623194,0.00057,19.03
019,00033,0.616614,0.00054,18.58
020,00033,0.592393,0.00059,19.66
021,00033,0.606405,0.00047,16.02
022,00033,0.627642,0.00051,17.17
023,00033,0.598648,0.00044,14.49
024,00033,0.631444,0.00041,13.54
025,00033,0.587467,0.00049,16.71
026,00033,0.582123,0.00048,16.00
027,00033,0.581305,0.00042,13.95
028,00033,0.580543,0.00048,15.73
029,00033,0.564274,0.00044,14.73
030,00033,0.593848,0.00052,16.89
031,00033,0.561031,0.00044,14.66
032,00033,0.584530,0.00044,14.66
033,00033,0.591855,0.00042,13.77
034,00033,0.557996,0.00043,14.35
035,00033,0.575244,0.00043,13.76
036,00033,0.609733,0.00046,15.39
037,00033,0.557852,0.00040,13.13
038,00033,0.518837,0.00049,16.72
039,00033,0.546927,0.00038,12.72
040,00033,0.544576,0.00038,12.72
041,00033,0.503611,0.00040,13.91
042,00033,0.522193,0.00041,13.36
043,00033,0.501622,0.00041,13.82
044,00033,0.514628,0.00037,12.28
045,00033,0.519129,0.00034,11.65
046,00033,0.497757,0.00039,13.13
047,00033,0.480174,0.00034,11.70
048,00033,0.479200,0.00043,14.98
049,00033,0.461554,0.00039,13.02
050,00033,0.451753,0.00031,9.93
051,00033,0.468572,0.00034,11.28
052,00033,0.465684,0.00032,10.57
053,00033,0.444548,0.00034,11.69
054,00033,0.472009,0.00036,11.72
055,00033,0.431602,0.00035,11.43
056,00033,0.431762,0.00032,11.18
057,00033,0.457176,0.00033,11.15
058,00033,0.417971,0.00032,10.73
059,00033,0.430339,0.00028,9.47
060,00033,0.418761,0.00032,10.68
061,00033,0.382588,0.00029,9.60
062,00033,0.382649,0.00028,9.35
063,00033,0.427845,0.00031,10.33
064,00033,0.395392,0.00027,8.80
065,00033,0.378642,0.00025,8.74
066,00033,0.382078,0.00028,9.71
067,00033,0.376184,0.00028,9.76
068,00033,0.359661,0.00026,9.09
069,00033,0.338781,0.00023,8.32
070,00033,0.356588,0.00025,8.70
071,00033,0.367847,0.00024,8.47
072,00033,0.341203,0.00027,9.17
073,00033,0.280596,0.00022,7.53
074,00033,0.295656,0.00022,7.53
075,00033,0.336612,0.00025,8.37
076,00033,0.297745,0.00022,7.71
077,00033,0.281229,0.00022,7.46
078,00033,0.274635,0.00021,7.03
079,00033,0.252862,0.00020,7.07
080,00033,0.280851,0.00020,6.46
081,00033,0.230494,0.00019,6.64
082,00033,0.234393,0.00021,6.88
083,00033,0.220027,0.00019,6.30
084,00033,0.228179,0.00018,6.26
085,00033,0.208228,0.00018,5.80
086,00033,0.196728,0.00017,5.90
087,00033,0.201094,0.00017,5.65
088,00033,0.162071,0.00017,5.75
089,00033,0.162675,0.00017,5.45
090,00033,0.150181,0.00016,5.16
091,00033,0.152881,0.00016,5.25
092,00033,0.164170,0.00015,5.08
093,00033,0.137550,0.00015,4.96
094,00033,0.118406,0.00015,5.04
095,00033,0.116153,0.00015,4.67
096,00033,0.102525,0.00015,4.76
097,00033,0.117099,0.00015,4.74
098,00033,0.122384,0.00015,4.74
099,00033,0.105718,0.00015,4.63
100,00033,0.140786,0.00015,4.65
101,00000,0.000000,0.00000,10.71
